ID, Time, Theta_1, Theta_2, D_Theta_1, D_Theta_2, DD_Theta_1, DD_Theta_2, Torque_1, Torque_2, Theta_N_1, Theta_N_2
2532, 25.314611040262342, -0.8806788133537634, -1.0755772693567236, 2.0617934479939146, -0.4900953910387001, 16.471428205471, 2.3407065877737927, 4.2794137729460875, -0.32483316797082706, -0.880051971177408, -1.076043002968258
2533, 25.32461286208781, -0.8592373074635508, -1.080361187937722, 2.226507730048625, -0.46668832516096215, 16.471428205471, 2.3407065877737927, 4.428697636646223, -0.3119951462881995, -0.8591293359827971, -1.0787418481908269
2534, 25.33461468391328, -0.836148658752791, -1.084911035859943, 2.3912220121033347, -0.44328125928322415, 16.471428205471, 2.3407065877737927, 4.58340484973883, -0.2982723167420425, -0.8366556372883264, -1.084399530687197
2535, 25.34461650573875, -0.8114128672214841, -1.0892268131233864, 2.555936294158045, -0.41987419340548626, 16.471428205471, 2.3407065877737927, 4.743278369531281, -0.28363542406876696, -0.8129288421439584, -1.0883065699560317
2536, 25.354618327564218, -0.78502993286963, -1.0933085197280528, 2.7206505762127553, -0.39646712752774826, 16.471428205471, 2.3407065877737927, 4.9080280416234725, -0.2680550154292824, -0.7839227613055932, -1.0941643387517324
2537, 25.364620149389687, -0.7569998556972289, -1.0971561556739415, 2.885364858267465, -0.3730600616500103, 16.471428205471, 2.3407065877737927, 5.077327638652013, -0.2515025078988734, -0.7578355736310906, -1.0991083175420409
2538, 25.374621971215156, -0.7273226357042807, -1.100769720961053, 3.050079140322176, -0.3496529957722724, 16.471428205471, 2.3407065877737927, 5.25081183652607, -0.23395136364127617, -0.726688306291066, -1.1018676421456481
2539, 25.384623793040625, -0.6959982728907854, -1.1041492155893868, 3.2147934223768853, -0.32624592989453444, 16.471428205471, 2.3407065877737927, 5.428073168781578, -0.21537837355652345, -0.6969145788890968, -1.1049869677800153
2540, 25.394625614866094, -0.6630267672567429, -1.1072946395589436, 3.3795077044315955, -0.3028388640167965, 16.471428205471, 2.3407065877737927, 5.608659005191503, -0.19576504910981876, -0.662710309442309, -1.1078463067897086
2541, 25.404627436691563, -0.6292316902124281, -1.1103230281991114, 3.37950770443159, -0.30283886401679727, 0.0, 0.0, 4.263209944712278, -0.5206483592735551, -0.6296201247402232, -1.1105706699736937
2542, 25.41462925851703, -0.5954366131681121, -1.1133514168392795, 3.37950770443159, -0.30283886401679727, 0.0, 0.0, 4.359577279496926, -0.4911585791557328, -0.5961239188217895, -1.1138161819673587
2543, 25.4246310803425, -0.5616415361237962, -1.1163798054794474, 3.37950770443159, -0.30283886401679727, 0.0, 0.0, 4.452829584831166, -0.46153932645775025, -0.5609076782008472, -1.116114337775259
2544, 25.43463290216797, -0.5278464590794802, -1.1194081941196155, 3.37950770443159, -0.30283886401679727, 0.0, 0.0, 4.542866157284917, -0.43181892172218933, -0.5289263403685017, -1.1207903051847754
2545, 25.44463472399344, -0.4940513820351643, -1.1224365827597833, 3.37950770443159, -0.30283886401679727, 0.0, 0.0, 4.629589985561024, -0.4020257794691462, -0.49314356432145584, -1.122084482783347
2546, 25.454636545818907, -0.46025630499084835, -1.1254649713999514, 3.37950770443159, -0.30283886401679727, 0.0, 0.0, 4.712907855727434, -0.3721883812988753, -0.46114251345756485, -1.1261383136982692
2547, 25.46463836764438, -0.4264612279465325, -1.1284933600401192, 3.37950770443159, -0.30283886401679727, 0.0, 0.0, 4.792730452099655, -0.3423352489309577, -0.4266066845737587, -1.1283837672365977
2548, 25.47464018946985, -0.39266615090221657, -1.1315217486802873, 3.37950770443159, -0.30283886401679727, 0.0, 0.0, 4.868972453663603, -0.3124949172055117, -0.3932689189733692, -1.1320877622365073
2549, 25.484642011295318, -0.3588710738579006, -1.1345501373204552, 3.37950770443159, -0.30283886401679727, 0.0, 0.0, 4.9415526259339515, -0.28269590707200054, -0.3598012727290903, -1.1329565193223188
